label_number,label_full_name,w-score
1,17Networks_LH_VisCent_ExStr_1,1.5416848372281122
2,17Networks_LH_VisCent_ExStr_2,1.6191056728870765
3,17Networks_LH_VisCent_Striate_1,1.0778303201188326
4,17Networks_LH_VisCent_ExStr_3,2.5938055335330263
5,17Networks_LH_VisCent_ExStr_4,2.01801843335668
6,17Networks_LH_VisCent_ExStr_5,2.6394805411670976
7,17Networks_LH_VisPeri_ExStrInf_1,2.0280460298555494
8,17Networks_LH_VisPeri_ExStrInf_2,1.6214642189180553
9,17Networks_LH_VisPeri_ExStrInf_3,1.2309838744590904
10,17Networks_LH_VisPeri_StriCal_1,1.096742683004226
11,17Networks_LH_VisPeri_ExStrSup_1,1.9802693740660646
12,17Networks_LH_VisPeri_ExStrSup_2,2.230021285021906
13,17Networks_LH_SomMotA_1,2.632462313791527
14,17Networks_LH_SomMotA_2,1.3098737885737166
15,17Networks_LH_SomMotA_3,1.7556617259287148
16,17Networks_LH_SomMotA_4,1.5055322520955932
17,17Networks_LH_SomMotA_5,1.1225840871624275
18,17Networks_LH_SomMotA_6,2.133185689872027
19,17Networks_LH_SomMotA_7,1.7364340981138797
20,17Networks_LH_SomMotA_8,1.6119148566304125
21,17Networks_LH_SomMotB_Aud_1,1.4559541798160764
22,17Networks_LH_SomMotB_Aud_2,2.1446538894605984
23,17Networks_LH_SomMotB_S2_1,2.46285699983609
24,17Networks_LH_SomMotB_S2_2,2.674579288091047
25,17Networks_LH_SomMotB_Aud_3,2.137199518653715
26,17Networks_LH_SomMotB_S2_3,2.577644234856038
27,17Networks_LH_SomMotB_Cent_1,2.0884090811039777
28,17Networks_LH_SomMotB_Cent_2,1.3865998531257897
29,17Networks_LH_DorsAttnA_TempOcc_1,1.4142503888220488
30,17Networks_LH_DorsAttnA_TempOcc_2,1.8238316536387402
31,17Networks_LH_DorsAttnA_ParOcc_1,2.3889845278586668
32,17Networks_LH_DorsAttnA_SPL_1,2.1907564811348346
33,17Networks_LH_DorsAttnA_SPL_2,1.8292077263755928
34,17Networks_LH_DorsAttnA_SPL_3,1.6942376318360632
35,17Networks_LH_DorsAttnB_PostC_1,1.9745780318951858
36,17Networks_LH_DorsAttnB_PostC_2,1.233658433502128
37,17Networks_LH_DorsAttnB_PostC_3,1.7931109368218718
38,17Networks_LH_DorsAttnB_PostC_4,1.5581738430975138
39,17Networks_LH_DorsAttnB_FEF_1,2.602564214222687
40,17Networks_LH_SalVentAttnA_ParOper_1,1.98682916405201
41,17Networks_LH_SalVentAttnA_Ins_1,1.358613010300327
